wavelength,lu,lu_std,ld,ld_std,ed,ed_std,lw,lw_std,rhow,rhow_std,rhow_nosc,rhow_nosc_std,cycle_id,platform_id,azimuth,timestamp,solar_zenith_angle
355.0,4.876107330685057,0.13950018139720752,69.36751123235756,0.11340749734967952,404.7916893129159,0.8296082696802584,3.0266376829590627,0.13950018139720752,0.021416324542062767,0.0005364994376479146,0.023489767603681957,0.0010826624079061276,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
357.5,4.90628626131261,0.13877702206990195,68.31783135430578,0.11218285573099608,410.8993841335591,0.8947157160159727,3.0848030735272447,0.13877702206990195,0.02151187988550494,0.000523275488238936,0.023585322947124135,0.0010610404635704221,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
360.0,5.037705215240179,0.1435333904182457,68.5429480288267,0.11427706240422404,426.2665064769222,0.9382937103576513,3.2102199891904046,0.1435333904182457,0.021585942278790345,0.0005185475264464109,0.023659385340409535,0.001057843949808918,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
362.5,5.41256433508563,0.15495471634138888,72.08290123221512,0.12287884757028782,457.83137570938067,1.0343563897991546,3.4906972307224335,0.15495471634138888,0.02187936873279348,0.000517101048250808,0.023952811794412675,0.0010632836112267857,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
365.0,5.782258904950558,0.16473646937060374,75.48951564431074,0.13223059308218588,490.1571065011048,1.1461805669954381,3.7695649877935087,0.1647364693706037,0.022087050616451543,0.0005176350735051344,0.024160493678070737,0.0010558551025554542,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
367.5,6.061476128748055,0.17178646456844968,77.63108804013335,0.13916144780279183,516.0172035627351,1.2305366377717275,3.9916838225308227,0.17178646456844968,0.02222854626302833,0.000518908013801147,0.024301989324647524,0.001045862601766518,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
370.0,6.129174329152209,0.17542644766414162,76.93104070836274,0.13987970406642827,520.0051079099384,1.1681409413280246,4.078046614889912,0.17542644766414167,0.022563932786146042,0.0005225459041182043,0.02463737584776524,0.0010598327417246677,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
372.5,6.116026752323787,0.17287157819447407,75.06861805500947,0.13082856991562264,520.3692395151402,1.153719443170005,4.11455476460293,0.17287157819447402,0.022767100997659995,0.0005144271742426882,0.024840544059279192,0.0010436667635778491,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
375.0,6.152924240233805,0.17219958512113984,73.81565508346807,0.13011932887913988,523.8629069536092,1.226423265150138,4.184858625963888,0.1721995851211398,0.023023048675300584,0.000501320736792004,0.02509649173691977,0.0010326765731777413,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
377.5,6.193110638386298,0.17242638112220424,72.66866681519018,0.13330436583956903,529.5032323992926,1.3370585826797445,4.255625910626379,0.17242638112220424,0.023175587122144545,0.00048531028030627496,0.025249030183763736,0.0010230219932068428,RTBE-P-JAGUAR_044071_20250513_110003,OOSTENDE_RT1,270,2025-05-13T11:02:08,33.81
