wavelength,lu,lu_std,ld,ld_std,ed,ed_std,lw,lw_std,rhow,rhow_std,rhow_nosc,rhow_nosc_std,cycle_id,platform_id,azimuth,timestamp,solar_zenith_angle
355.0,2.528500470930295,0.07928409250374159,46.165608385260235,0.030478808995347845,381.06558275673933,0.6938909058713169,1.305864348137579,0.0792840925037416,0.01018588091522239,0.00059445287129854,0.010765847214579726,0.0006536363655683185,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
357.5,2.522238715691952,0.07898755440345144,45.46776016809459,0.02947759742997381,385.44699460896555,0.6352778603344652,1.3180841957281855,0.07898755440345144,0.010163102615509645,0.000584462569989248,0.010743068914866982,0.0006437894810689884,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
360.0,2.550360616730953,0.07945225099461967,45.363157055100224,0.03052320586354017,396.00430536910153,0.5672545688321341,1.3489763742307954,0.07945225099461967,0.010121771559779408,0.0005710871093738366,0.010701737859136745,0.0006303128644099466,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
362.5,2.7063152449038044,0.08450414757755773,47.5253242721458,0.027696850505308058,427.714283424196,0.7393690340783002,1.4476688144775771,0.08450414757755773,0.010053266886084884,0.0005613971421034909,0.01063323318544222,0.0006206891364538071,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
365.0,2.8579385901432377,0.08910096502176149,49.579219714965696,0.030632744920832435,458.1241267370331,0.8469731671119275,1.544897408978001,0.08910096502176147,0.01001418944870067,0.0005516926475213721,0.010594155748058004,0.0006110111229762907,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
367.5,2.955191719849159,0.09171160678365878,50.64595133167992,0.033535298053874646,477.14164540287635,0.8696925908570318,1.6138995385663477,0.09171160678365878,0.010046259650194688,0.0005445307454377774,0.010626225949552022,0.0006038469140063904,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
370.0,2.946006362695959,0.09074587153046124,49.81119754989834,0.03077207543723875,482.2970965972102,0.79873458328861,1.6268215501437162,0.09074587153046125,0.010016843564711463,0.0005318112730738943,0.010596809864068798,0.0005911015541148697,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
372.5,2.9003462936166247,0.08789626714498452,48.282850990401066,0.024382875920526615,479.23875291254444,0.5719148287847413,1.6216377528421402,0.08789626714498452,0.010050487144048608,0.0005167466960208369,0.010630453443405942,0.0005761935266346055,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
375.0,2.8894663592574816,0.08674742210309867,47.33345965542885,0.022313146172634492,484.74557647968527,0.6871350790800914,1.6359012137810012,0.08674742210309869,0.010022162909403784,0.000502706113999163,0.01060212920876112,0.0005622022710884269,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
377.5,2.873043928432396,0.08559945231253724,46.32076721380144,0.022824469246799962,486.8402187144953,0.7800504598474686,1.6462986257722427,0.08559945231253724,0.010043641754220794,0.000492906763429922,0.010623608053578131,0.0005523755026781849,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
380.0,2.8078902723865387,0.08266845804905155,44.556101706531585,0.022944069020010685,480.71513213366393,0.7539312479737087,1.6278798416212685,0.08266845804905155,0.010058632341515687,0.0004808920595692961,0.010638598640873024,0.000540258883338591,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
382.5,2.6891326252715797,0.07831562933957932,41.86260751932344,0.015990806713689656,462.3041628769035,0.6933255900968143,1.5804558865120735,0.07831562933957932,0.01016003779554659,0.00047262307949533927,0.010740004094903928,0.0005321946578707207,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
385.0,2.67080909319721,0.0762928809706654,40.76723776193506,0.01495883508135911,462.98943715700375,0.7231620945657438,1.5911417984814507,0.0762928809706654,0.010216650175575045,0.00045808768140941656,0.010796616474932378,0.0005176816902139499,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
387.5,2.7181283880706912,0.0761754238161426,40.725299475449766,0.017596294849982798,474.3809623074617,0.7580987038753428,1.639571774352722,0.07617542381614262,0.010278114126731202,0.00044492015629099514,0.010858080426088537,0.0005044725038729036,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
390.0,2.793150100306642,0.07746716280887886,41.14212514452303,0.01960335566206709,491.2652147722438,0.7639872154523232,1.703554400616637,0.07746716280887886,0.010314096274254723,0.0004357739570277618,0.010894062573612058,0.0004953948748185795,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
392.5,2.845340895395223,0.07764600247823229,41.129496772191565,0.012660156744537545,499.24052899296663,0.7187748013842111,1.7560796417295335,0.07764600247823229,0.01047059266208031,0.0004290024585664433,0.011050558961437645,0.0004886063867015612,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
395.0,3.0541920256109125,0.08161762364729763,43.30137648069054,0.01417691654559606,538.3162757095876,0.737777121345225,1.9074113613092487,0.08161762364729763,0.010551611530356273,0.0004167373997630574,0.011131577829713607,0.0004763172477291684,TBBE-P-PUMA_026735_20250602_150618,CPower_OTS,225,2025-06-02T15:07:57,48.37
